"BehaviorSpace results (NetLogo 6.3.0)"
"deer_dispersal_death_v6.3-shorter steps-20yrs.nlogo"
"first 20 sims"
"04/29/2025 07:18:10:669 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-551","551","-879","879"
"[run number]","1","1","1","1","2","2","2","2","3","3","3","3","4","4","4","4","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","9","9","9","9","10","10","10","10","11","11","11","11","12","12","12","12","13","13","13","13","14","14","14","14","15","15","15","15","16","16","16","16","17","17","17","17","18","18","18","18","19","19","19","19","20","20","20","20"
"se-agricultural:step-length:winter:female","0.04976",,,,"0.04976",,,,"0.04976",,,,"0.04976",,,,"0.04976",,,,"0.04976",,,,"0.04976",,,,"0.04976",,,,"0.04976",,,,"0.04976",,,,"0.04976",,,,"0.04976",,,,"0.04976",,,,"0.04976",,,,"0.04976",,,,"0.04976",,,,"0.04976",,,,"0.04976",,,,"0.04976",,,,"0.04976",,,
"se-bare:step-length:summer:male","0.04185",,,,"0.04185",,,,"0.04185",,,,"0.04185",,,,"0.04185",,,,"0.04185",,,,"0.04185",,,,"0.04185",,,,"0.04185",,,,"0.04185",,,,"0.04185",,,,"0.04185",,,,"0.04185",,,,"0.04185",,,,"0.04185",,,,"0.04185",,,,"0.04185",,,,"0.04185",,,,"0.04185",,,,"0.04185",,,
"beta-slope:turning-angle","0.01336",,,,"0.01336",,,,"0.01336",,,,"0.01336",,,,"0.01336",,,,"0.01336",,,,"0.01336",,,,"0.01336",,,,"0.01336",,,,"0.01336",,,,"0.01336",,,,"0.01336",,,,"0.01336",,,,"0.01336",,,,"0.01336",,,,"0.01336",,,,"0.01336",,,,"0.01336",,,,"0.01336",,,,"0.01336",,,
"beta-wetlands:turning-angle","-1.0E27",,,,"-1.0E27",,,,"-1.0E27",,,,"-1.0E27",,,,"-1.0E27",,,,"-1.0E27",,,,"-1.0E27",,,,"-1.0E27",,,,"-1.0E27",,,,"-1.0E27",,,,"-1.0E27",,,,"-1.0E27",,,,"-1.0E27",,,,"-1.0E27",,,,"-1.0E27",,,,"-1.0E27",,,,"-1.0E27",,,,"-1.0E27",,,,"-1.0E27",,,,"-1.0E27",,,
"se-wetlands:step-length:summer:male","0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,
"se-forest:step-length:summer:male","0.03607",,,,"0.03607",,,,"0.03607",,,,"0.03607",,,,"0.03607",,,,"0.03607",,,,"0.03607",,,,"0.03607",,,,"0.03607",,,,"0.03607",,,,"0.03607",,,,"0.03607",,,,"0.03607",,,,"0.03607",,,,"0.03607",,,,"0.03607",,,,"0.03607",,,,"0.03607",,,,"0.03607",,,,"0.03607",,,
"se-scrub:turning-angle","0.102",,,,"0.102",,,,"0.102",,,,"0.102",,,,"0.102",,,,"0.102",,,,"0.102",,,,"0.102",,,,"0.102",,,,"0.102",,,,"0.102",,,,"0.102",,,,"0.102",,,,"0.102",,,,"0.102",,,,"0.102",,,,"0.102",,,,"0.102",,,,"0.102",,,,"0.102",,,
"se-artificial:step-length:summer:female","0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,
"beta-bare:step-length:summer:male","-0.02799",,,,"-0.02799",,,,"-0.02799",,,,"-0.02799",,,,"-0.02799",,,,"-0.02799",,,,"-0.02799",,,,"-0.02799",,,,"-0.02799",,,,"-0.02799",,,,"-0.02799",,,,"-0.02799",,,,"-0.02799",,,,"-0.02799",,,,"-0.02799",,,,"-0.02799",,,,"-0.02799",,,,"-0.02799",,,,"-0.02799",,,,"-0.02799",,,
"beta-bare:step-length:winter:female","-0.0833",,,,"-0.0833",,,,"-0.0833",,,,"-0.0833",,,,"-0.0833",,,,"-0.0833",,,,"-0.0833",,,,"-0.0833",,,,"-0.0833",,,,"-0.0833",,,,"-0.0833",,,,"-0.0833",,,,"-0.0833",,,,"-0.0833",,,,"-0.0833",,,,"-0.0833",,,,"-0.0833",,,,"-0.0833",,,,"-0.0833",,,,"-0.0833",,,
